frame,player_id,distance,team,rank
1012,away_485,0.6046530748168256,away,4
1012,away_674,0.6046530748168256,away,5
1013,home_120,0.6023785647709358,home,1
1013,home_616,0.6023785647709358,home,2
1013,home_688,0.6023785647709358,home,3
1013,away_485,0.6023785647709358,away,4
1013,away_674,0.6023785647709358,away,5
1014,home_120,0.6025373409623844,home,1
1014,home_616,0.6025373409623844,home,2
1014,home_688,0.6025373409623844,home,3
1014,away_485,0.6025373409623844,away,4
1014,away_674,0.6025373409623844,away,5
1015,home_120,0.6026484842969023,home,1
1015,home_616,0.6026484842969023,home,2
1015,home_688,0.6026484842969023,home,3
1015,away_485,0.6026484842969023,away,4
1015,away_674,0.6026484842969023,away,5
1016,home_120,0.6027262846313115,home,1
1016,home_616,0.6027262846313115,home,2
1016,home_688,0.6027262846313115,home,3
1016,away_485,0.6027262846313115,away,4
1016,away_674,0.6027262846313115,away,5
1017,home_120,0.6027807448655188,home,1
1017,home_616,0.6027807448655188,home,2
1017,home_688,0.6027807448655188,home,3
1017,away_485,0.6027807448655188,away,4
1017,away_674,0.6027807448655188,away,5
1018,home_120,0.6028188909246065,home,1
1018,home_616,0.6028188909246065,home,2
1018,home_688,0.6028188909246065,home,3
1018,away_485,0.6028188909246065,away,4
1018,away_674,0.6028188909246065,away,5
1019,home_120,0.6028458792463627,home,1
1019,home_616,0.6028458792463627,home,2
1019,home_688,0.6028458792463627,home,3
1019,away_485,0.6028458792463627,away,4
1019,away_674,0.6028458792463627,away,5
1020,home_120,0.683377071791992,home,1
1020,home_616,0.683377071791992,home,2
1020,home_688,0.683377071791992,home,3
1020,away_485,0.683377071791992,away,4
1020,away_674,0.683377071791992,away,5
1021,home_120,0.7155194025675452,home,1
1021,home_616,0.7155194025675452,home,2
1021,home_688,0.7155194025675452,home,3
1021,away_485,0.7155194025675452,away,4
1021,away_674,0.7155194025675452,away,5
1022,home_120,0.6550864518248656,home,1
1022,home_616,0.6550864518248656,home,2
1022,home_688,0.6550864518248656,home,3
1022,away_485,0.6550864518248656,away,4
1022,away_674,0.6550864518248656,away,5
1023,home_120,0.6486298902245689,home,1
1023,home_616,0.6486298902245689,home,2
1023,home_688,0.6486298902245689,home,3
1023,away_485,0.6486298902245689,away,4
1023,away_674,0.6486298902245689,away,5
1024,home_120,0.7560821289774292,home,1
1024,home_616,0.7560821289774292,home,2
1024,home_688,0.7560821289774292,home,3
1024,away_485,0.7560821289774292,away,4
1024,away_674,0.7560821289774292,away,5
1025,home_120,0.8128211808500773,home,1
1025,home_616,0.8128211808500773,home,2
1025,home_688,0.8128211808500773,home,3
1025,away_485,0.8128211808500773,away,4
1025,away_674,0.8128211808500773,away,5
1026,home_120,0.852464096978544,home,1
1026,home_616,0.852464096978544,home,2
1026,home_688,0.852464096978544,home,3
1026,away_485,0.852464096978544,away,4
1026,away_674,0.852464096978544,away,5
1027,home_120,0.8781467667635895,home,1
1027,home_616,0.8781467667635895,home,2
1027,home_688,0.8781467667635895,home,3
1027,away_485,0.8781467667635895,away,4
1027,away_674,0.8781467667635895,away,5
